parameter,mean_high_mi,std_high_mi,mean_low_mi,std_low_mi,mwu_p_mi,cliffs_delta_mi,mean_high_atp,std_high_atp,mean_low_atp,std_low_atp,mwu_p_atp,cliffs_delta_atp
rall_exponent,0.8548724097698339,0.3388806133220794,1.1375718164441353,0.46503398047901495,5.993555814662488e-37,-0.3437857715201465,1.1561345940773557,0.4717993786582007,0.8964729806233698,0.33580652233592556,1.177640593136943e-22,0.28609506740536755
soma_offset_pd_um,-45.869579268556244,71.22371937600322,-6.584604150927625,86.75257120530418,9.303832216960592e-28,-0.29560272626678874,-3.6146571470334647,87.73348791434108,-47.3041865548707,72.60417713704858,9.306494758140782e-32,0.3424886022461915
field_elongation_pd,2.8235966209234076,0.1839562548652018,2.518627591826422,0.44242203472247355,3.0388268397964576e-46,0.38650769803113555,2.4329509960732842,0.461290689935521,2.8316128594684384,0.1162117231722841,5.146751082388437e-58,-0.4689562470156527
branch_density_gradient_pd,-0.94013008763379,0.016834619242361216,-0.6606739990277738,0.4609968815786101,3.1426326499664374e-58,-0.43550275679181927,-0.524579535839926,0.5415142658906007,-0.9414455077112245,0.011261977120931455,8.1680083003436e-67,0.5043383415859394
primary_branch_pd_concentration,3.5763759596403597,0.1336970129380068,3.255718573793966,1.0050586315577639,7.712611307525491e-07,0.13378667773199024,3.187216836118157,1.0849653069768797,3.569172305668069,0.1366187028056588,0.03367045729595074,-0.062027001393240494
mean_segment_length_um,57.563529920914974,2.856644334660222,45.217863705707224,16.11982191028837,8.271020926576789e-97,0.5652436755952381,40.50708996704004,18.07447960633242,57.90287927473592,2.1888879900542033,4.8007618796818445e-136,-0.7250557623249455
soma_diameter_um,14.019081183696443,2.185647565603372,13.088654738197544,2.6389158150158623,2.931346541332682e-19,0.24287073603479853,13.135183278881096,2.555485723100373,14.579293532876155,2.2871847390336733,5.685578016196844e-38,-0.3762436143144014
ais_length_um,35.73346374951403,2.870609405204711,40.04350934941191,10.3580391525527,2.9593634969809568e-43,-0.37324719551282054,40.53857593282809,10.810200255213237,36.02768340869946,3.1177905408805113,5.246100211006618e-38,0.3763433651009609
morph_seed,799031268.9367936,534110595.1038252,1108670261.8933237,612510298.5961984,2.8653645428737613e-37,-0.34529532967032966,1144976652.6672516,580909697.8276304,744315120.5541345,516026020.5172989,1.8093383802495677e-50,0.43629522308200497
branch_length_cv,0.05432287490839703,0.07940352741228524,0.22637341489575968,0.17933072074871206,2.8944890889127305e-87,-0.536060077075702,0.22652410876890952,0.18749054571978066,0.04032529392113231,0.04816858803158578,2.647796524090956e-80,0.5542398990064168
