gnmda_ns,angle_deg,synapse_index,onset_time_ms
0.000000,60,70,115.0559
0.000000,60,71,100.0000
0.000000,60,72,122.5716
0.000000,60,73,100.0000
0.000000,60,74,100.5524
0.000000,60,75,118.3875
0.000000,60,76,108.3699
0.000000,60,77,100.0000
0.000000,60,78,100.0000
0.000000,60,79,109.1131
0.000000,60,80,100.0000
0.000000,60,81,103.2374
0.000000,60,82,100.0000
0.000000,60,83,100.0000
0.000000,60,84,118.0499
0.000000,60,85,102.0562
0.000000,60,86,100.0000
0.000000,60,87,100.0000
0.000000,60,88,111.2032
0.000000,60,89,101.5423
0.000000,60,90,100.0000
0.000000,60,91,100.0000
0.000000,60,92,103.9921
0.000000,60,93,100.0000
0.000000,60,94,100.0000
0.000000,60,95,100.0000
0.000000,60,96,112.4248
0.000000,60,97,100.0000
0.000000,60,98,100.0000
0.000000,60,99,100.0000
0.000000,90,0,100.5700
0.000000,90,1,100.0000
0.000000,90,2,127.5900
0.000000,90,3,110.3650
0.000000,90,4,100.0000
0.000000,90,5,100.0000
0.000000,90,6,100.5600
0.000000,90,7,100.0000
0.000000,90,8,100.0000
0.000000,90,9,100.0000
0.000000,90,10,100.0000
0.000000,90,11,100.1550
0.000000,90,12,100.0000
0.000000,90,13,124.7200
0.000000,90,14,100.0000
0.000000,90,15,122.7100
0.000000,90,16,100.0000
0.000000,90,17,100.0000
0.000000,90,18,120.7050
0.000000,90,19,108.5750
0.000000,90,20,121.2900
0.000000,90,21,112.4900
0.000000,90,22,113.1250
0.000000,90,23,100.0000
0.000000,90,24,100.0000
0.000000,90,25,116.1600
0.000000,90,26,100.0000
0.000000,90,27,100.0000
0.000000,90,28,104.1850
0.000000,90,29,100.3250
0.000000,90,30,104.5500
0.000000,90,31,105.2900
0.000000,90,32,110.0650
0.000000,90,33,100.0000
0.000000,90,34,100.0000
0.000000,90,35,124.2050
0.000000,90,36,100.1450
0.000000,90,37,100.0000
0.000000,90,38,100.0000
0.000000,90,39,115.5600
0.000000,90,40,100.0000
0.000000,90,41,115.8100
0.000000,90,42,100.0000
0.000000,90,43,107.3600
0.000000,90,44,100.5250
0.000000,90,45,100.0000
0.000000,90,46,108.4400
0.000000,90,47,104.7900
0.000000,90,48,118.5450
0.000000,90,49,100.0000
0.000000,90,50,100.0000
0.000000,90,51,102.1200
0.000000,90,52,100.0000
0.000000,90,53,135.9400
0.000000,90,54,107.6500
0.000000,90,55,120.6150
0.000000,90,56,100.2950
0.000000,90,57,100.0000
0.000000,90,58,108.2650
