angle_deg,synapse_index,onset_time_ms,is_fired
240,71,126.3444,0
240,72,100.0000,1
240,73,106.9880,0
240,74,100.0000,1
240,75,100.0000,1
240,76,100.0000,1
240,77,104.0810,0
240,78,102.2626,0
240,79,100.0000,1
240,80,109.6554,0
240,81,100.0000,1
240,82,101.2681,0
240,83,112.2616,0
240,84,100.0000,1
240,85,100.0000,1
240,86,101.5186,0
240,87,102.6664,0
240,88,100.0000,1
240,89,100.0000,1
240,90,126.6015,0
240,91,110.9519,0
240,92,100.0000,1
240,93,103.8112,0
240,94,110.0224,0
240,95,108.3151,0
240,96,100.0000,1
240,97,110.7092,0
240,98,111.8600,0
240,99,126.0667,0
270,0,100.0000,1
270,1,100.9500,0
270,2,100.0000,1
270,3,100.0000,1
270,4,122.5300,0
270,5,118.5950,0
270,6,100.0000,1
270,7,104.9100,0
270,8,112.9450,0
270,9,104.7250,0
270,10,125.2550,0
270,11,100.0000,1
270,12,111.9250,0
270,13,100.0000,1
270,14,104.8350,0
270,15,100.0000,1
270,16,104.7300,0
270,17,112.5800,0
270,18,100.0000,1
270,19,100.0000,1
270,20,100.0000,1
270,21,100.0000,1
270,22,100.0000,1
270,23,105.6500,0
270,24,103.4400,0
270,25,100.0000,1
270,26,101.2000,0
270,27,107.9100,0
270,28,100.0000,1
270,29,100.0000,1
270,30,100.0000,1
270,31,100.0000,1
270,32,100.0000,1
270,33,105.7700,0
270,34,110.2600,0
270,35,100.0000,1
270,36,100.0000,1
270,37,112.1050,0
270,38,104.0900,0
270,39,100.0000,1
270,40,100.0050,0
270,41,100.0000,1
270,42,100.8850,0
270,43,100.0000,1
270,44,100.0000,1
270,45,112.8600,0
270,46,100.0000,1
270,47,100.0000,1
270,48,100.0000,1
270,49,124.3800,0
270,50,124.9450,0
270,51,100.0000,1
270,52,103.7450,0
270,53,100.0000,1
270,54,100.0000,1
270,55,100.0000,1
270,56,100.0000,1
270,57,116.2450,0
270,58,100.0000,1
270,59,100.0000,1
270,60,100.0000,1
270,61,100.0000,1
270,62,100.0000,1
270,63,101.3300,0
270,64,100.0000,1
270,65,100.0000,1
270,66,100.0000,1
270,67,107.2300,0
270,68,100.0000,1
270,69,100.0000,1
270,70,100.0000,1
270,71,125.8300,0
270,72,100.0000,1
270,73,105.7250,0
270,74,103.6750,0
270,75,100.0000,1
270,76,100.0000,1
270,77,102.3250,0
270,78,101.8650,0
270,79,100.6950,0
270,80,113.8800,0
270,81,101.6600,0
270,82,107.9450,0
270,83,123.2200,0
270,84,100.0000,1
270,85,107.8650,0
270,86,104.5450,0
270,87,102.2850,0
270,88,100.0000,1
270,89,104.9250,0
270,90,125.9450,0
270,91,109.5400,0
270,92,100.0000,1
270,93,104.6750,0
270,94,108.1550,0
270,95,108.1350,0
270,96,100.0000,1
270,97,110.4000,0
270,98,112.2600,0
270,99,131.6350,0
300,0,105.5039,0
300,1,102.1627,0
300,2,100.0000,1
300,3,100.0000,1
300,4,121.0416,0
300,5,115.2212,0
300,6,105.3850,0
300,7,110.3172,0
300,8,117.8232,0
300,9,102.4545,0
300,10,123.7440,0
300,11,100.0000,1
300,12,107.2974,0
300,13,100.0000,1
300,14,110.3297,0
300,15,100.0000,1
300,16,104.3713,0
300,17,118.9221,0
300,18,100.0000,1
300,19,103.5113,0
300,20,100.0000,1
300,21,100.0000,1
300,22,100.0000,1
300,23,111.5905,0
300,24,111.1091,0
300,25,100.0000,1
300,26,100.0000,1
300,27,103.9453,0
300,28,101.4257,0
300,29,104.5410,0
300,30,100.0521,0
300,31,100.0000,1
300,32,100.0000,1
300,33,108.7070,0
300,34,113.5354,0
300,35,100.0000,1
300,36,110.9594,0
300,37,109.2032,0
300,38,102.1220,0
300,39,100.0000,1
300,40,100.0318,0
300,41,100.0000,1
300,42,103.2714,0
300,43,100.0000,1
300,44,101.5603,0
300,45,110.0421,0
300,46,100.0000,1
300,47,102.6617,0
300,48,100.0000,1
300,49,122.4837,0
300,50,129.7130,0
300,51,100.0000,1
300,52,103.1283,0
300,53,100.0000,1
300,54,100.0000,1
300,55,100.0000,1
300,56,115.1770,0
300,57,114.5661,0
300,58,100.0000,1
300,59,100.0000,1
300,60,102.1568,0
300,61,100.0000,1
300,62,100.0000,1
300,63,101.3418,0
300,64,100.0000,1
300,65,100.0000,1
300,66,100.0000,1
300,67,101.3289,0
300,68,100.0000,1
300,69,100.0000,1
300,70,100.0000,1
300,71,118.3944,0
300,72,111.1834,0
300,73,102.9280,0
300,74,106.9176,0
300,75,105.7175,0
300,76,104.1351,0
300,77,100.0000,1
300,78,100.9676,0
300,79,110.3169,0
300,80,114.3854,0
300,81,106.1126,0
300,82,112.4931,0
300,83,127.9566,0
300,84,102.8251,0
300,85,115.6788,0
300,86,106.3536,0
300,87,101.2914,0
300,88,100.0000,1
300,89,110.0727,0
300,90,118.3365,0
300,91,105.5719,0
300,92,100.0000,1
300,93,104.2862,0
300,94,104.1024,0
300,95,105.7751,0
300,96,100.0000,1
300,97,107.3042,0
300,98,109.3750,0
300,99,128.7267,0
330,0,110.1030,0
330,1,102.7959,0
330,2,100.0000,1
330,3,100.0000,1
330,4,113.9150,0
330,5,107.7690,0
330,6,109.8871,0
330,7,112.9599,0
330,8,117.9257,0
330,9,100.0000,1
330,10,115.8708,0
330,11,100.0000,1
330,12,100.7144,0
330,13,100.0000,1
330,14,113.0566,0
330,15,100.0000,1
330,16,102.8413,0
